1071,1226,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227,1071
1071,1226,725,725,725,725,725,725,725,725,725,725,725,725,725,1071
1071,775,570,570,570,570,570,570,570,570,570,570,890,890,776,1071
1071,775,570,412,412,412,412,412,412,412,412,412,873,873,890,1071
1071,775,570,412,412,412,412,412,412,412,412,412,570,873,890,1071
1071,775,570,412,412,412,412,821,412,412,412,412,412,873,890,1071
1071,775,570,821,412,714,715,716,717,412,412,412,412,873,890,1071
1071,775,776,821,821,765,766,767,768,412,821,821,873,873,890,1071
1071,775,776,821,821,816,817,818,819,821,821,821,873,873,776,1071
1071,775,776,821,821,867,868,869,870,821,821,821,873,873,776,1071
1071,775,776,821,821,918,919,920,921,821,821,821,873,873,776,1071
1071,775,776,821,821,821,821,821,821,821,821,873,873,873,890,1071
1071,775,776,821,821,821,821,821,821,821,821,873,873,873,890,1071
1071,775,776,929,929,929,929,929,929,929,929,873,873,873,890,1071
1071,826,776,776,776,776,776,776,776,776,776,776,776,827,890,1071
1071,877,878,878,878,878,878,878,878,878,878,878,878,878,879,1071
